title,resume,date,url
Nador: 929 téléphones portables saisis dans une voiture en provenance de Mellilia,"La brigade de la police judiciaire de Nador a ouvert samedi une enquête judiciaire après la découverte d’un tentative de trafic par un citoyen marocain d’une grande quantité de téléphones portables, à partir de la ville de Mellilia.",14 décembre 2019,https://www.h24info.ma/maroc/nador-929-telephones-portables-saisis-dans-une-voiture-en-provenance-de-mellilia/
"Secousse tellurique de magnitude 3,6 dans la province de Midelt","Une secousse tellurique, d’une magnitude de 3,6 degrés sur l’échelle de Richter, a été enregistrée mardi dans la province de Midelt, a indiqué l’Institut national de géophysique (ING).",26 novembre 2019,https://www.h24info.ma/maroc/secousse-tellurique-de-magnitude-36-dans-la-province-de-midelt/
Tan-Tan: un policier blessé par balle lors d’une intervention mouvementée,"Les éléments de la sûreté nationale du district de sûreté de Tan-Tan ont arrêté samedi trois individus pour leur implication présumée dans une affaire d’ivresse publique manifeste et de dégradation de biens publics, tout en mettant en danger la vie d’autrui.",15 décembre 2019,https://www.h24info.ma/maroc/tan-tan-un-policier-blesse-par-balle-lors-dune-intervention-mouvementee/
Italie: un ressortissant marocain écope de 10 ans de prison pour «avoir empêché sa fille de sortir»,"Le Tribunal de Verceil a condamné un ressortissant marocain résidant à Livourne en Italie à 10 ans de prison pour avoir tenté, « de manière disproportionnée », d’empêcher sa fille de 20 ans, qui a déposé une plainte contre lui, de sortir. ",15 décembre 2019,https://www.h24info.ma/h24/italie-un-ressortissant-marocain-ecope-de-10-ans-de-prison-pour-avoir-empeche-sa-fille-de-sortir/
Les doctorants de la fonction publique déterrent la hache de guerre contre El Othmani,"Accusant l’Exécutif d’avoir ignoré leur dossier revendicatif, les fonctionnaires publics titulaires de doctorats ont décidé de déterrer la hache de guerre contre le gouvernement El Othmani. Ils annoncent une grève de 48h, mercredi et jeudi 18 et 19 décembre.",15 décembre 2019,https://www.h24info.ma/maroc/les-doctorants-de-la-fonction-publique-deterrent-la-hache-de-guerre-contre-el-othmani/
Temps: ce que prévoit la météo pour cette journée du lundi 16 décembre,"Voici les prévisions météorologiques pour la journée du lundi 16 décembre 2019, établies par la Direction de la météorologie nationale (DMN):",16 décembre 2019,https://www.h24info.ma/maroc/temps-ce-que-prevoit-la-meteo-pour-cette-journee-du-lundi-16-decembre/
Hajar Raïssouni et les oeillères des islamistes,"Les islamistes marocains baignent dans la schizophrénie. Dernière exemple en date de cette pathologie: l’affaire Hajar Raïssouni, du nom de la journaliste récemment arrêtée pour des faits supposés d’adultère et de relations sexuelles hors mariage.",12 septembre 2019,https://www.h24info.ma/debats-idees/hajar-raissouni-et-les-oeilleres-des-islamistes/
Températures prévues pour le lundi 16 décembre,"Voici les températures minimales et maximales prévues par la Direction de la météorologie nationale (DMN), pour la journée du lundi 16 décembre 2019 : Min Max",15 décembre 2019,https://www.h24info.ma/maroc/temperatures-prevues-pour-le-lundi-16-decembre/
Les 25 ans de la Biennale de photographie de Bamako: un défi relevé,"Pour ses 25 ans, fort d’un nouveau souffle, avec une gouvernance désormais malienne, l’Institut français relégué en tant que partenaire, la Biennale de la Photographie de Bamako",17 décembre 2019,https://www.h24info.ma/debats-idees/les-25-ans-de-la-biennale-de-photographie-de-bamako-un-defi-releve/
Casablanca: « 7liwa » enflamme la prison d’Oukacha,"Le rappeur Ihab Ikbal, plus connu sous le nom de “7liwa”, a donné un concert jeudi dernier à la prison d’Oukacha de Casablanca. ",14 décembre 2019,https://www.h24info.ma/people/casablanca-7liwa-enflamme-la-prison-doukacha/
